SPTLC3,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
SRC,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
SRMS,"Enzymes, Predicted intracellular proteins"
SRSF6,Predicted intracellular proteins
SRXN1,"Enzymes, Predicted intracellular proteins"
SS18L1,"Cancer-related genes, Predicted intracellular proteins"
SSTR4,"G-protein coupled receptors, Predicted membrane proteins"
STAU1,"Plasma proteins, Predicted intracellular proteins"
STK4,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
STK35,"Enzymes, Predicted intracellular proteins"
STMN3,Predicted intracellular proteins
STX16,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
SULF2,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
SUN5,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
SYCP2,Predicted intracellular proteins
SYNDIG1,Predicted membrane proteins
SYS1,Predicted membrane proteins
TAF4,Predicted intracellular proteins
TASP1,Predicted intracellular proteins
TBC1D20,"Disease related genes, Predicted membrane proteins"
TCEA2,Predicted intracellular proteins
TCF15,"Predicted intracellular proteins, Transcription factors"
TCFL5,"Predicted intracellular proteins, Transcription factors"
TFAP2C,"Predicted intracellular proteins, Transcription factors"
TGIF2,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
TGM2,"Enzymes, Predicted intracellular proteins"
TGM3,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
TGM6,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
THBD,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Predicted membrane proteins"
TLDC2,Predicted intracellular proteins
TM9SF4,"Predicted membrane proteins, Transporters"
TMC2,Predicted membrane proteins
TMEM74B,Predicted membrane proteins
TMEM189,Predicted membrane proteins
TMEM230,Predicted membrane proteins
TMEM239,Predicted membrane proteins
TMX4,Predicted membrane proteins
TNFRSF6B,Predicted secreted proteins
TNNC2,Predicted intracellular proteins
TOMM34,Predicted intracellular proteins
TOP1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"
TOX2,"Predicted intracellular proteins, Transcription factors"
TP53INP2,Predicted intracellular proteins
TP53RK,"Enzymes, Predicted intracellular proteins"
TP53TG5,Predicted intracellular proteins
TPD52L2,"Plasma proteins, Predicted intracellular proteins"
TPX2,"Cancer-related genes, Predicted intracellular proteins"
TRIB3,"Enzymes, Predicted intracellular proteins"
TRMT6,Predicted intracellular proteins
TRPC4AP,Predicted intracellular proteins
TSHZ2,"Predicted intracellular proteins, Transcription factors"
TTI1,Predicted intracellular proteins
TTPAL,"Plasma proteins, Predicted intracellular proteins"
TUBB1,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
UBE2C,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
UBE2V1,Predicted intracellular proteins
UBOX5,"Enzymes, Predicted intracellular proteins"
